Date,CountryName,School closing,Workplace closing,Cancel public events,Stay at home requirements,International travel controls
2020-01-01,Australia,0,0,0,0,0
2020-01-02,Australia,0,0,0,0,0
2020-01-03,Australia,0,0,0,0,0
2020-01-04,Australia,0,0,0,0,0
2020-01-05,Australia,0,0,0,0,0
2020-01-06,Australia,0,0,0,0,0
2020-01-07,Australia,0,0,0,0,0
2020-01-08,Australia,0,0,0,0,0
2020-01-09,Australia,0,0,0,0,0
2020-01-10,Australia,0,0,0,0,0
2020-01-11,Australia,0,0,0,0,0
2020-01-12,Australia,0,0,0,0,0
2020-01-13,Australia,0,0,0,0,0
2020-01-14,Australia,0,0,0,0,0
2020-01-15,Australia,0,0,0,0,0
2020-01-16,Australia,0,0,0,0,0
2020-01-17,Australia,0,0,0,0,0
2020-01-18,Australia,0,0,0,0,0
2020-01-19,Australia,0,0,0,0,0
2020-01-20,Australia,0,0,0,0,0
2020-01-21,Australia,0,0,0,0,0
2020-01-22,Australia,0,0,0,0,0
2020-01-23,Australia,0,0,0,0,0
2020-01-24,Australia,0,0,0,0,0
2020-01-25,Australia,0,0,0,0,0
2020-01-26,Australia,0,0,0,0,0
2020-01-27,Australia,0,0,0,0,0
2020-01-28,Australia,0,0,0,0,0
2020-01-29,Australia,0,0,0,0,0
2020-01-30,Australia,0,0,0,0,0
2020-01-31,Australia,0,0,0,0,0
2020-02-01,Australia,0,0,0,0,3
2020-02-02,Australia,0,0,0,0,3
2020-02-03,Australia,0,0,0,0,3
2020-02-04,Australia,0,0,0,0,3
2020-02-05,Australia,0,0,0,0,3
2020-02-06,Australia,0,0,0,0,3
2020-02-07,Australia,0,0,0,0,3
2020-02-08,Australia,0,0,0,0,3
2020-02-09,Australia,0,0,0,0,3
2020-02-10,Australia,0,0,0,0,3
2020-02-11,Australia,0,0,0,0,3
2020-02-12,Australia,0,0,0,0,3
2020-02-13,Australia,0,0,0,0,3
2020-02-14,Australia,0,0,0,0,3
2020-02-15,Australia,0,0,0,0,3
2020-02-16,Australia,0,0,0,0,3
2020-02-17,Australia,0,0,0,0,3
2020-02-18,Australia,0,0,0,0,3
2020-02-19,Australia,0,0,0,0,3
2020-02-20,Australia,0,0,0,0,3
2020-02-21,Australia,0,0,0,0,3
2020-02-22,Australia,0,0,0,0,3
2020-02-23,Australia,0,0,0,0,3
2020-02-24,Australia,0,0,0,0,3
2020-02-25,Australia,0,0,0,0,3
2020-02-26,Australia,0,0,0,0,3
2020-02-27,Australia,0,0,0,0,3
2020-02-28,Australia,0,0,0,0,3
2020-02-29,Australia,0,0,0,0,3
2020-03-01,Australia,0,0,0,0,3
2020-03-02,Australia,0,0,0,0,3
2020-03-03,Australia,0,0,0,0,3
2020-03-04,Australia,0,0,0,0,3
2020-03-05,Australia,0,0,0,0,3
2020-03-06,Australia,0,0,0,0,3
2020-03-07,Australia,0,0,0,0,3
2020-03-08,Australia,0,0,0,0,3
2020-03-09,Australia,0,0,0,0,3
2020-03-10,Australia,0,0,0,0,3
2020-03-11,Australia,0,0,0,0,3
2020-03-12,Australia,0,0,0,0,3
2020-03-13,Australia,0,0,0,0,3
2020-03-14,Australia,0,0,0,0,3
2020-03-15,Australia,0,0,0,0,3
2020-03-16,Australia,0,0,1,0,3
2020-03-17,Australia,0,0,1,0,3
2020-03-18,Australia,0,0,2,0,3
2020-03-19,Australia,0,0,2,0,3
2020-03-20,Australia,0,0,2,0,4
2020-03-21,Australia,0,0,2,0,4
2020-03-22,Australia,0,0,2,0,4
2020-03-23,Australia,0,2,2,0,4
2020-03-24,Australia,3,2,2,1,4
2020-03-25,Australia,3,2,2,1,4
2020-03-26,Australia,3,2,2,1,4
2020-03-27,Australia,3,2,2,1,4
2020-03-28,Australia,3,2,2,1,4
2020-03-29,Australia,3,2,2,1,4
2020-03-30,Australia,3,2,2,1,4
2020-03-31,Australia,3,2,2,1,4
2020-04-01,Australia,3,2,2,1,4
2020-04-02,Australia,3,2,2,2,4
2020-04-03,Australia,3,2,2,2,4
2020-04-04,Australia,3,2,2,2,4
2020-04-05,Australia,3,2,2,2,4
2020-04-06,Australia,3,2,2,2,4
2020-04-07,Australia,3,2,2,2,4
2020-04-08,Australia,3,2,2,2,4
2020-04-09,Australia,3,2,2,2,4
2020-04-10,Australia,3,2,2,2,4
2020-04-11,Australia,3,2,2,2,4
2020-04-12,Australia,3,2,2,2,4
2020-04-13,Australia,3,2,2,2,4
2020-04-14,Australia,3,2,2,2,4
2020-04-15,Australia,3,2,2,2,4
2020-04-16,Australia,3,2,2,2,4
2020-04-17,Australia,3,2,2,2,4
2020-04-18,Australia,2,2,2,2,4
2020-04-19,Australia,2,2,2,2,4
2020-04-20,Australia,2,2,2,2,4
2020-04-21,Australia,2,2,2,2,4
2020-04-22,Australia,2,2,2,2,4
